tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0871384	tvEpisode	The Star of Sorrow I. City of Blood	The Star of Sorrow I. City of Blood	0	2005	\N	24	Action,Animation,Drama
tt0871385	tvEpisode	The Star of Sorrow II. Hunter's Banquet	The Star of Sorrow II. Hunter's Banquet	0	2005	\N	24	Action,Animation,Drama
tt0871386	tvEpisode	Witch Hunt	Witch Hunt	0	2005	\N	24	Action,Animation,Drama
tt0871387	tvEpisode	I'm Living in Iraq	I'm Living in Iraq	0	2004	\N	\N	Documentary,Romance
tt0871388	tvEpisode	Episode #2.11	Episode #2.11	0	2006	\N	\N	News
tt0871389	tvEpisode	Episode #2.8	Episode #2.8	0	2006	\N	\N	News
tt0871390	tvEpisode	Jeffrey's Choice	Jeffrey's Choice	0	2006	\N	\N	Comedy
tt0871391	tvEpisode	The Cell	The Cell	0	2006	\N	43	Drama,Mystery,Thriller
tt0871392	tvEpisode	Cambodia and Laos	Cambodia and Laos	0	1983	\N	\N	Documentary,History,War
tt0871393	tvEpisode	Homefront USA	Homefront USA	0	1983	\N	\N	Documentary,History,War
tt0871394	tvEpisode	Peace Is at Hand: 1968-1973	Peace Is at Hand: 1968-1973	0	1983	\N	\N	Documentary,History,War
tt0871395	tvEpisode	Tet: 1968	Tet: 1968	0	1983	\N	\N	Documentary,History,War
tt0871396	tvEpisode	The End of the Tunnel: 1973-1975	The End of the Tunnel: 1973-1975	0	1983	\N	\N	Documentary,History,War
tt0871397	tvEpisode	Vietnamizing the War: 1969-1973	Vietnamizing the War: 1969-1973	0	1983	\N	\N	Documentary,History,War
tt0871398	tvEpisode	Episode dated 13 October 1999	Episode dated 13 October 1999	0	1999	\N	\N	\N
tt0871400	tvEpisode	Episode dated 20 October 1999	Episode dated 20 October 1999	0	1999	\N	\N	\N
tt0871405	tvEpisode	Super Dave	Super Dave	0	2006	\N	\N	Comedy,Romance
tt0871406	tvEpisode	Bitter Harvest	Bitter Harvest	0	2002	\N	\N	Documentary
tt0871407	tvEpisode	Cause for Murder	Cause for Murder	0	2002	\N	\N	Documentary
tt0871408	tvEpisode	Greetings from Grozny	Greetings from Grozny	0	2002	\N	\N	Documentary
tt0871409	tvEpisode	Growing Up Global	Growing Up Global	0	2002	\N	\N	Documentary
